codigo,nome,lat,lon,altitude,area_drenagem_km2,anos_dados,data_inicio,data_fim,operando,operadora,bacia_nome,sub_bacia_pref,dist_min_km,dist_centroide_km,score_anos,score_falhas,score_proximidade,score
58480500,JUIZ DE FORA - JUSANTE,-21.7783,-43.3253,700.0,969.0,49.12,1975-09-01,2024-10-15,True,SGB-CPRM,"ATLÂNTICO,TRECHO LESTE",58,222.56383778165636,245.01234011142904,1.0,1.0,0.0824525212946333,0.8164905042589267
58480000,JUIZ DE FORA,-21.75,-43.3333333333333,670.0,956.0,45.31,1930-12-15,1976-04-07,False,ANA,"ATLÂNTICO,TRECHO LESTE",58,223.8569559625165,246.18720987790084,1.0,1.0,0.08201529425748355,0.8164030588514968
58425000,MORELI (PARADA MORELI),-22.1925,-43.0075,518.0,930.0,78.42,1947-09-01,2026-02-02,True,SGB-CPRM,"ATLÂNTICO,TRECHO LESTE",58,227.29360261933866,251.2452052489711,1.0,1.0,0.0808755252386621,0.8161751050477325
58630000,ANTA F,-22.0333,-43.0,232.6,32700.0,72.83,1925-05-01,1998-03-01,False,LIGHT,"ATLÂNTICO,TRECHO LESTE",58,235.61009829964888,259.28643716387404,1.0,1.0,0.0782441700583919,0.8156488340116784
58630002,ANTA,-22.0353,-42.9908,231.6,32700.0,100.17,1922-10-01,2022-12-01,False,SGB-CPRM,"ATLÂNTICO,TRECHO LESTE",58,236.350328115094,260.0392890793518,1.0,1.0,0.07801823444915028,0.8156036468898301
58420000,FAZENDA SOBRADINHO,-22.1994,-42.8969,704.0,719.0,86.92,1935-11-01,2022-10-01,False,SGB-CPRM,"ATLÂNTICO,TRECHO LESTE",58,237.48281578904576,261.5016442315881,1.0,1.0,0.07767508654397305,0.8155350173087946
58610000,ESTEVÃO PINTO,-21.8964,-43.0414,426.0,783.0,93.12,1931-09-01,2024-10-15,True,SGB-CPRM,"ATLÂNTICO,TRECHO LESTE",58,239.32761751961505,262.6477019908017,1.0,1.0,0.07712252243433824,0.8154245044868677
58750000,PIAU,-21.4967,-43.3172,472.0,490.0,91.0,1931-12-01,2022-12-01,False,SGB-CPRM,"ATLÂNTICO,TRECHO LESTE",58,243.62465168374212,265.09112888049214,1.0,1.0,0.07586543926094227,0.8151730878521884
58636000,UHE ILHA DOS POMBOS SAPUCAIA,-21.9875,-42.9044,192.0,32900.0,40.08,1979-10-01,2019-11-01,False,LIGHT,"ATLÂNTICO,TRECHO LESTE",58,246.703605079064,270.3781387476771,1.0,1.0,0.0749896125103784,0.8149979225020757
58755000,RIO NOVO,-21.4739,-43.1289,397.0,835.0,80.87,1943-12-01,2024-10-15,True,SGB-CPRM,"ATLÂNTICO,TRECHO LESTE",58,259.75216528939944,281.66448221446274,1.0,1.0,0.07149185057892331,0.8142983701157847
58720000,TABULEIRO,-21.3547,-43.2478,498.0,322.0,79.59,1943-05-01,2022-12-01,False,SGB-CPRM,"ATLÂNTICO,TRECHO LESTE",58,259.78803117441805,280.96380474573294,1.0,1.0,0.0714826860750599,0.814296537215012
58645000,SUMIDOURO,-22.0497,-42.6775,346.0,294.0,67.15,1951-10-01,2018-11-26,True,SGB-CPRM,"ATLÂNTICO,TRECHO LESTE",58,264.80246054670613,288.73851879776254,1.0,1.0,0.07022411239568664,0.8140448224791373
58710000,USINA ITUERÉ,-21.305,-43.1992,501.0,784.0,90.16,1929-01-01,2019-03-01,False,SGB-CPRM,"ATLÂNTICO,TRECHO LESTE",58,267.25537523497957,288.40942598901574,1.0,1.0,0.0696244586672736,0.8139248917334547
58825000,PONTE ESTRADA DONA MARIANA,-22.2189,-42.5714,850.0,234.0,56.91,1965-11-01,2022-10-01,False,SGB-CPRM,"ATLÂNTICO,TRECHO LESTE",58,268.0501689595322,292.19182349136884,1.0,1.0,0.0694323494835713,0.8138864698967143
58832000,CONSELHEIRO PAULINO,-22.2269,-42.5211,750.0,170.0,82.0,1934-09-01,2016-09-01,False,ANA,"ATLÂNTICO,TRECHO LESTE",58,272.6551977600684,296.8112979358617,1.0,1.0,0.06833980791414776,0.8136679615828296
58826000,CONSELHEIRO PAULINO,-22.2269,-42.5211,750.0,170.0,84.42,1934-09-01,2019-02-01,False,SGB-CPRM,"ATLÂNTICO,TRECHO LESTE",58,272.6551977600684,296.8112979358617,1.0,1.0,0.06833980791414776,0.8136679615828296
58730001,GUARANI,-21.3556,-43.0503,398.0,1650.0,90.7,1934-02-01,2024-10-15,True,SGB-CPRM,"ATLÂNTICO,TRECHO LESTE",58,274.564008969836,296.29791493754556,1.0,1.0,0.06789695750660443,0.813579391501321
58648001,PAQUEQUER,-21.8764,-42.63,200.0,762.0,91.09,1931-08-01,2022-09-01,False,SGB-CPRM,"ATLÂNTICO,TRECHO LESTE",58,277.52180152197514,301.2273495779328,1.0,1.0,0.06722196456760426,0.8134443929135209
58651980,UHE ILHA DOS POMBOS,-21.85,-42.6,106.0,34300.0,92.42,1920-07-01,2012-12-01,False,LIGHT,"ATLÂNTICO,TRECHO LESTE",58,281.61803787153593,305.3027776986184,1.0,1.0,0.0663090315855656,0.8132618063171132
58765001,USINA MAURÍCIO,-21.4739,-42.8253,212.0,1770.0,59.41,1963-01-01,2022-06-01,False,SGB-CPRM,"ATLÂNTICO,TRECHO LESTE",58,284.18417177735114,306.74822225541,1.0,1.0,0.06574964069675224,0.8131499281393505
58827000,BOM JARDIM,-22.1567,-42.4161,570.0,553.0,88.08,1934-09-01,2022-10-01,False,SGB-CPRM,"ATLÂNTICO,TRECHO LESTE",58,285.43027542717607,309.56418048294677,1.0,1.0,0.06548139332955097,0.8130962786659103
58658000,VOLTA GRANDE,-21.7675,-42.5397,209.0,348.0,56.42,1962-07-01,2018-12-01,False,SGB-CPRM,"ATLÂNTICO,TRECHO LESTE",58,291.41243118520083,315.00515480710175,1.0,1.0,0.064223511964125,0.812844702392825
58735000,ASTOLFO DUTRA,-21.3094,-42.8619,165.0,2350.0,92.87,1931-12-01,2024-10-15,True,SGB-CPRM,"ATLÂNTICO,TRECHO LESTE",58,292.6428246286321,314.6803624801223,1.0,1.0,0.06397076287855538,0.8127941525757111
58857000,ALDEIA,-21.9522,-42.3561,376.0,350.0,82.25,1936-09-01,2018-12-01,False,ANA,"ATLÂNTICO,TRECHO LESTE",58,299.508298217461,323.48108761455575,1.0,1.0,0.06259618329658459,0.8125192366593169
58770000,CATAGUASES,-21.3894,-42.6964,169.0,5880.0,91.52,1930-07-01,2022-01-06,True,SGB-CPRM,"ATLÂNTICO,TRECHO LESTE",58,300.4947064405368,323.06665579401226,1.0,1.0,0.06240352679182461,0.8124807053583649
58670002,FAZENDA DA BARRA (PIRAPETINGA),-21.6581,-42.3428,145.0,590.0,52.04,1972-10-01,2024-10-15,True,SGB-CPRM,"ATLÂNTICO,TRECHO LESTE",58,315.0938465578466,338.66637309799455,1.0,1.0,0.05968477250610282,0.8119369545012206
58846000,MANUEL DE MORAIS,-22.0242,-42.1344,249.0,1370.0,83.99,1935-12-01,2019-11-28,True,SGB-CPRM,"ATLÂNTICO,TRECHO LESTE",58,317.7447179046045,341.85316449647985,1.0,1.0,0.05921632209107995,0.8118432644182161
58790000,SANTO ANTÔNIO DE PÁDUA,-21.5422,-42.1806,86.0,8210.0,65.92,1935-03-01,2001-02-01,False,ANA,"ATLÂNTICO,TRECHO LESTE",58,336.00821453323823,359.5255103547633,1.0,1.0,0.056178478988812,0.8112356957977624
58910000,FAZENDA UMBAÚBAS,-21.0506,-42.5142,488.0,151.0,86.5,1936-04-01,2022-10-01,False,SGB-CPRM,"ATLÂNTICO,TRECHO LESTE",58,338.75271466492046,360.8082197533932,1.0,1.0,0.05574870706882386,0.8111497414137648
58850000,PIMENTEL,-21.77,-41.9383,80.0,1810.0,57.21,1967-08-01,2024-10-15,True,SGB-CPRM,"ATLÂNTICO,TRECHO LESTE",58,347.12764271769066,371.08403753631126,1.0,1.0,0.054476965700399074,0.8108953931400799
58870000,BARRA DO RIO NEGRO,-21.7289,-41.9547,70.0,1120.0,58.29,1966-07-01,2024-10-15,True,SGB-CPRM,"ATLÂNTICO,TRECHO LESTE",58,347.4483668891557,371.3558061521837,1.0,1.0,0.05442941594575978,0.810885883189152
58795000,TRÊS IRMÃOS,-21.6258,-41.9853,60.0,45300.0,95.51,1930-08-01,2026-02-03,True,SGB-CPRM,"ATLÂNTICO,TRECHO LESTE",58,349.5225610663782,373.2944856387746,1.0,1.0,0.05412389420089388,0.8108247788401788
58920000,PATROCÍNIO DO MURIAÉ,-21.1506,-42.2144,167.0,2660.0,95.87,1928-12-01,2024-10-15,True,SGB-CPRM,"ATLÂNTICO,TRECHO LESTE",58,356.4720463720693,379.2303750514984,1.0,1.0,0.05312479423833209,0.8106249588476665
58874000,DOIS RIOS,-21.6442,-41.8589,50.0,3120.0,92.25,1930-09-01,2022-12-02,True,SGB-CPRM,"ATLÂNTICO,TRECHO LESTE",58,360.39074350322505,384.2504731314879,1.0,1.0,0.052577514941108,0.8105155029882216
58917000,JUSSARA,-20.9111,-42.3483,419.0,744.0,60.21,1964-08-01,2024-10-15,True,SGB-CPRM,"ATLÂNTICO,TRECHO LESTE",58,361.92119242807115,383.9480456969718,1.0,1.0,0.05236682435150986,0.810473364870302
58880001,SÃO FIDELIS,-21.6453,-41.7522,26.0,48900.0,101.12,1923-09-01,2024-10-15,True,SGB-CPRM,"ATLÂNTICO,TRECHO LESTE",58,370.3424758191617,394.2510491844162,1.0,1.0,0.05123705781193442,0.8102474115623869
58916000,BICUIBA,-20.7728,-42.3011,616.0,393.0,56.42,1962-07-01,2018-12-01,False,ANA,"ATLÂNTICO,TRECHO LESTE",58,375.7114405607308,397.5059114460089,1.0,1.0,0.05054187963749446,0.810108375927499
58940000,ITAPERUNA,-21.2078,-41.8922,128.0,5800.0,92.87,1931-12-01,2024-10-15,True,SGB-CPRM,"ATLÂNTICO,TRECHO LESTE",58,380.6773847188994,403.9046000128077,1.0,1.0,0.04991547005836446,0.8099830940116729
58934000,PORCIUNCULA,-20.9614,-42.0378,414.0,1340.0,95.95,1928-11-01,2024-10-15,True,SGB-CPRM,"ATLÂNTICO,TRECHO LESTE",58,383.68409410078124,406.2993806384345,1.0,1.0,0.0495436909510904,0.8099087381902181
58960000,CARDOSO MOREIRA,-21.4917,-41.6136,134.0,7210.0,93.29,1928-11-01,2022-02-14,True,SGB-CPRM,"ATLÂNTICO,TRECHO LESTE",58,390.5962579414391,414.40730441561396,1.0,1.0,0.048709649961915825,0.8097419299923833
58930000,CARANGOLA,-20.74,-42.0239,399.0,773.0,95.87,1928-12-01,2024-10-15,True,SGB-CPRM,"ATLÂNTICO,TRECHO LESTE",58,399.9963578735464,422.18727126288627,1.0,1.0,0.04761946056213576,0.8095238921124271
